content,cleaned_content,label,지점명
굳,굳다,1,가수원DT점
굿,굿,1,가수원DT점
.,,0,가수원DT점
맛있어요 ,맛있다,1,가수원DT점
좋아요,좋다,1,가수원DT점
!,,0,가수원DT점
좋아용,좋다,1,가수원DT점
"간단한끼 좋아요 
콜라만 리필되면 더 좋을듯",간단하다 끼 좋다 콜라 만 리 피다 면 더 좋다,1,가수원DT점
조아요 ,좋다,1,가수원DT점
ㄱ,,1,가수원DT점
자주 버거를 잘 못 주시는듯요.,자주 버거 를 자다 못 주시 는 듯 요,1,가수원DT점
DT이용이라서 맥날리뷰는 안썼는데 오늘은 리뷰쓴이유가 소프트콘을 시켰는데 너무 일찍 뽑아두신건지 아니면 기계에서 만들어지는 동안 덜 얼어서?굳어서? 뽑은건지는 모르겠는데 제 순서에 받을때 넘 녹아있고 한쪽이 흐르더라구요 먹을때 불편했어요 좀 개선해주세요 ,이용 이라서 맥날 리뷰 는 안 써다 오늘 은 리뷰 쓸다 이유 가 소프트 콘 을 시키다 너무 일찍 뽑다 두 신건 지 아니다 기계 에서 만들어지다 동안 덜 얼다 굳다 뽑다 건지다 모르다 제 순서 에 받다 때 넘다 녹다 한쪽 이 흐르다 먹다 때 불편하다 좀 개선 해주다,1,가수원DT점
마늘맛이 버거와 어우러져서 맛있어요~~,마늘 맛 이 버거 와 어우러지다 맛있다,1,가수원DT점
"주차장이 넓어서
아이들과 함께가기 좋아요 
",주차장 이 넓다 아이 들 과 함께 가기 좋다,1,가수원DT점
좋아요,좋다,1,가수원DT점
아침이 시작되는 곳,아침 이 시작 되다 곳,1,가수원DT점
좋아요 ,좋다,1,가수원DT점
어유 햄버거 오랜만에 먹는데 가격 많이 올랐네요 전엔 그래도 한끼 식사 값보다 저렴했던거같은데 이젠 비슷하네요 ㅠ 배불리잘먹긴했어요 ㅋㅋㅋ,어유 햄버거 오랜 만 에 먹다 가격 많이 오르다 전 엔 그래도 한 끼 식사 값 보다 저렴하다 같다 이 젠 비슷하다 배 불리다 먹다 하다,1,가수원DT점
좋아요 ,좋다,1,가수원DT점
아이랑함께하기좋은맥모닝!,아이 랑 함께 하다 좋다 은맥 모닝,1,가수원DT점
맛있어요,맛있다,1,가수원DT점
아이스크림이 제일 맛있는집 입니다. ,아이스크림 이 제일 맛있다 집 이다,1,가수원DT점
맛있음,맛있다,1,가수원DT점
사람많음,사람 많다,1,가수원DT점
굿,굿,1,가수원DT점
좋아요 ,좋다,1,가수원DT점
매장에서 먹으니까 엄청 고소~~^^,매장 에서 먹다 엄청 고소,1,가수원DT점
친절해요 ,친절하다,1,가수원DT점
야무지게 맥드라이브,야무지다 맥 드라이브,1,가수원DT점
가성비가 좋아요,가성 비 가 좋다,1,가수원DT점
주차하기 좋은 맥도날드,주차 하다 좋다 맥도날드,1,가수원DT점
친절,친절,1,가수원DT점
맛있어요,맛있다,1,가수원DT점
좋아요,좋다,1,가수원DT점
맛있어요,맛있다,1,가수원DT점
이용할때마다 주문 받으시는 뷴들이 친절하세요,이용 하다 때 마다 주문 받다 뷴들 이 친절하다,1,가수원DT점
맛있어요,맛있다,1,가수원DT점
쿠폰으로 할인받아 먹었어요. 맛있어요!,쿠폰 으로 할인 받다 먹다 맛있다,1,가수원DT점
굳굳,굳다 굳다,1,가수원DT점
굿,굿,1,가수원DT점
"매니저님 친절
굿",매니저 님 친절 굿,1,가수원DT점
맛잇어용~~,맛 잇다,1,가수원DT점
좋아요,좋다,1,가수원DT점
비가 오고나서 그런지 2층올라가는 중간에 냄새들이 ㅜㅜ,비 가 오다 그렇다 층 올라가다 중간 에 냄새 들 이,1,가수원DT점
좋아요,좋다,1,가수원DT점
태풍 맛집,태풍 맛집,1,가수원DT점
"픽업해서 먹어서 편리하고 좋습니다
버거도 맛있어요",픽업 하다 먹다 편리하다 좋다 버거 도 맛있다,1,가수원DT점
굿~,굿,1,가수원DT점
"디티ㅡ
드라이브 음식 빨리나와요.",디티 드라이브 음식 빨리 나오다,0,가수원DT점
좋습니다! ,좋다,1,가수원DT점
맛있엉ㅅ,맛있다 엉,1,가수원DT점
굿,굿,1,가수원DT점
굿,굿,1,가수원DT점
스낵랩 아이스커피 조합 굿,스낵 랩 아이스커피 조합 굿,1,가수원DT점
ㄱㄱ,,1,가수원DT점
"오늘 DT로 주문했는데 매장 실수로 메뉴가 부분 누락되어서 가져왔습니다. 계룡에 다른 두 브랜드가 있지만 맥도날드를 좋아해서 항상
대전으로 나가서 사오거나 먹고 옵니다. 매장에선 환불해주면 끝이지만 저희는 차타고 시간내서 사러 갔다와서 가족들끼리 맛있게 먹
으려고 하는데 메뉴 누락되어 있으니 기분이 안좋아요 사람이 하는 일이니 실수는 있을수 있다고 생각해요 앞으로는 조금 더 신...",오늘 로 주문 하다 매장 실수 로 메뉴 가 부분 누락 되어다 가져오다 계룡 에 다른 두 브랜드 가 있다 맥도날드 를 좋아하다 항상 대전 으로 나가다 사오다 먹다 옵니다 매장 에선 환불 해주다 끝 이지만 저희 는 차 타고 시간 내다 사르다 가다 오다 가족 들 끼리 맛있다 먹다 으려고 하다 메뉴 누락 되어다 있다 기분 이 안좋다 사람 이 하다 일이 니 실수 는 있다 있다 생각 하다 앞 으로는 조금 더 신,0,가수원DT점
굿,굿,1,가수원DT점
 그냥 런치로 했더니 햄버거가 사이즈가 너무 작네요.하지만 매장직원분이 너무 친절하셔서 기분이 덜 상하네요.,그냥 런치 로 하다 햄버거 가 사이즈 가 너무 작다 하지만 매장 직원 분 이 너무 친절하다 기분 이 덜 상 하다,0,가수원DT점
"점심시간에 드라이브스루 줄 길어요
맥도날드 앱 받고 적립이 꽤 쏠쏠함",점심시간 에 드라이브스루 줄 기다 맥도날드 앱 받다 적립 이 꽤 쏠쏠하다,1,가수원DT점
ㅡ,,0,가수원DT점
야채도 신선하고 아이들이 좋아합니다 햄버거 감튀 맛있어요 ,야채 도 신선하다 아이 들 이 좋아하다 햄버거 감 튀다 맛있다,1,가수원DT점
🐮🐮👍🏻,,1,가수원DT점
ㅡ,,0,가수원DT점
햄버거 맛있고 직원들도 친절합니다,햄버거 맛있다 직원 들 도 친절하다,1,가수원DT점
이용 잘 했어요,이용 자다 하다,1,가수원DT점
아침마다 출근도장 찍는데 너무 신선해요 ㅇㅈ,아침 마다 출근 도장 찍다 너무 신선하다,1,가수원DT점
"아이스크림이랑 감튀~
다른곳보다 짜서 더 맛있다는 !!
날 더운데 피서차~~",아이스크림 이랑 감 튀다 다른 곳 보다 짜다 더 맛있다 날 덥다 피 서 차,1,가수원DT점
좋아요 좋아요,좋다 좋다,1,가수원DT점
주차시설이편리해요,주차 시설 이 편리하다,1,가수원DT점
굿,굿,1,가수원DT점
ㅇ,,1,가수원DT점
드라이브스루라서 이용하기 편해요,드라이브스루 라서 이용 하다 편하다,1,가수원DT점
좋아요,좋다,1,가수원DT점
맛있어요,맛있다,1,가수원DT점
굿,굿,1,가수원DT점
굿,굿,1,가수원DT점
오늘은 드라이브스루 이용했어요 기기 소통이 서로 잘 안들려 조금 당황했지만 직원분들 다 너무 친젏해요,오늘 은 드라이브스루 이용 하다 기기 소통 이 서로 자다 안 들다 조금 당황 하다 직원 분들 다 너무 친젏해 요,1,가수원DT점
맥도날드 앱에서 쿠폰을 많이 발급해주어 좋아요.,맥도날드 앱 에서 쿠폰 을 많이 발급 해주다 좋다,1,가수원DT점
굿굿,굿굿,1,가수원DT점
좋아요,좋다,1,가수원DT점
굿,굿,1,가수원DT점
해피밀 선물은 쫌^^;;;;  버리고 싶으다..ㅠㅠ 맥도날드도  음료 리필좀 해주셨으면ㅋㅋㅋ,해피밀 선물 은 쫌 버리다 싶다 맥도날드 도 음료 리필좀 해주다,1,가수원DT점
치킨랩 너무 맛있어요:),치킨 랩 너무 맛있다,1,가수원DT점
ㅇ,,1,가수원DT점
오늘 시작은 맥모닝!,오늘 시작 은 맥 모닝,0,가수원DT점
매장크고넓어요 아이가 감자튀김만좋아해오,매장 크다 넓다 아이 가 감자 튀김 만 좋아하다,1,가수원DT점
DT라서 너무좋아요,라서 너무 좋다,1,가수원DT점
굳,굳다,1,가수원DT점
조아요,좋다,1,가수원DT점
아이랑 점심떼우러 왔네요ㅎ,아이 랑 점심 떼다 오다,1,가수원DT점
굿,굿,1,가수원DT점
좋습니다 ,좋다,1,가수원DT점
성경학교 가기전에 아이 딸기크림 사주러,성경 학교 가다 아이 딸기 크림 사주다,1,가수원DT점
스낵랩은... 역시 너무 맛있어요..,스낵 랩 은 역시 너무 맛있다,0,가수원DT점
드라이브스루 갈때마다 항상 차 많아서 오래걸리고ㅠ 특히 주말은 앞에 스벅이랑 차들 겹쳐서 헬게 오픈됨ㅋㅋㅠㅠ 이번 신메뉴 진도 대파 맛없다...ㅠ,드라이브스루 갈다 때 마다 항상 차 많다 오래 걸리다 특히 주말 은 앞 에 스벅 이랑 차 들 겹 치다 헬 게 오픈 되다 이번 신 메뉴 진도 대파 맛없다,1,가수원DT점
ㅎㅎ,,1,가수원DT점
굿,굿,1,가수원DT점
아침마다 들리는 곳인데 좋아요,아침 마다 들리다 곳 인데 좋다,1,가수원DT점
깔끔하고 넓고 주차공간도 넓고 혼밥하기 좋아요,깔끔하다 넓다 주차공간 도 넓다 혼밥 하다 좋다,1,가수원DT점
좋아요,좋다,1,가수원DT점
좋아요,좋다,1,가수원DT점
좋아요,좋다,1,가수원DT점
맛잏어욤..,맛잏어욤,1,가수원DT점
"좋아요
",좋다,1,가수원DT점
추천합니다,추천 하다,1,가수원DT점
좋아요,좋다,1,가수원DT점
좋아요,좋다,1,가수원DT점
맛있어요,맛있다,1,가수원DT점
굿,굿,1,가수원DT점
"음
..
감튀는 오래동안 보관해놧으면 버리든가 드세요.. 손님들한테 주지말고",음 감 튀다 오래 동안 보관 하다 놧으 면 버리다 가다 들다 손님 들 한테 주지 말고,1,가수원DT점
굿,굿,1,가수원DT점
맥도날드,맥도날드,1,가수원DT점
햄버거안에 있어야할 양상추가 빵밖에 뿌려져있어서 처음엔 실수한줄 알고 그냥 넘어갔는데 햄버거 하나 더 시켰더니 또 그렇더군요 만들기 싫었던건지 원,햄버거 안 에 있다 야하다 양상추 가 빵 밖에 뿌리다 처음 엔 실수 한 줄 알 고 그냥 넘어가다 햄버거 하나 더 시키다 또 그렇다 만들기 싫다 건지다 원,1,가수원DT점
자동차로사와서 모르고 맛있어요,자동차 로 사오다 모르다 맛있다,1,가수원DT점
굿,굿,1,가수원DT점
맛있어요,맛있다,1,가수원DT점
주차하기가 좋아요,주차 하다 좋다,1,가수원DT점
DT이용,이용,1,가수원DT점
매장이 넓어서 좋아요. ,매장 이 넓다 좋다,1,가수원DT점
주차공간이 제일 좋았고 감튀랑 버거도 바로 만들어서 맛있었어요,주차공간 이 제일 좋다 감 튀랑 버거 도 바로 만들다 맛있다,1,가수원DT점
굳,굳다,1,가수원DT점
굿,굿,1,가수원DT점
위치가 좋아요  드라이브 스루 자주 애용합니다,위치 가 좋다 드라이브 스루 자주 애용 하다,1,가수원DT점
아침은 여기죠,아침 은 여기 죠,1,가수원DT점
맛있음,맛있다,1,가수원DT점
ㅡ,,0,가수원DT점
ㅎㅇ,,1,가수원DT점
맛있어요,맛있다,1,가수원DT점
굿,굿,1,가수원DT점
아이스커피 국룰,아이스커피 국룰,1,가수원DT점
"깨끗하고 2층에서 밖구경도 하고
대화하기 좋아요",깨끗하다 층 에서 밖 구경 도 하다 대화 하다 좋다,1,가수원DT점
정말 따뜻하고 맛있게 먹었어요!,정말 따뜻하다 맛있다 먹다,1,가수원DT점
스트로베리콘 짱 맛있어요 🍓🍦,스트로베리 콘 짱 맛있다,1,가수원DT점
추천합니다,추천 하다,1,가수원DT점
"전 주로 새벽에가서 매장이 깨끗하진 않더라구요
매장 넓고 좋아요
앱 깔아서 쿠폰 쓰면 꿀입니다",전 주로 새벽 에가 서다 매장 이 깨끗하다 않다 매장 넓다 좋다 앱 깔다 쿠폰 쓰다 꿀 이다,1,가수원DT점
굳,굳다,1,가수원DT점
감튀는 진리... 그런데 소금을 골고루 뿌려주시길... 어떤 건 넘 짜고 싱겁고 그러네요~~ 바삭했음 좋겠어서 더 튀겨주세요 했더니 확실히 맛나네요,감 튀다 진리 그런데 소금 을 골고루 뿌리다 어떻다 건 넘다 짜다 싱겁다 그렇다 바삭 하다 좋다 더 튀기다 하다 확실하다 맛 나다,1,가수원DT점
좋아요,좋다,1,가수원DT점
좋아요,좋다,1,가수원DT점
맛있어요 공간도 쾌적하구요,맛있다 공간 도 쾌적하다,1,가수원DT점
👍🏻,,1,가수원DT점
굿,굿,1,가수원DT점
굳,굳다,1,가수원DT점
굳,굳다,1,가수원DT점
"오랫만에 온 맥도랄도~~~
맛이 바뀐건가???",오랫 만 에 온 맥 도 랄 도 맛 이 바뀌다 건가,1,가수원DT점
ㅜ,,0,가수원DT점
"좋아요
",좋다,1,가수원DT점
드라이브스루가 있고 금방 나와서 종종 가고 있어요!,드라이브스루 가 있다 금방 나오다 종종 가다 있다,1,가수원DT점
햄버거 맛있^-^,햄버거 맛있다,1,가수원DT점
오랜만에 맥스파이시 상하이버거 먹었네요,오랜 만 에 맥스 파이다 상하이 버거 먹다,1,가수원DT점
굿,굿,1,가수원DT점
굿,굿,1,가수원DT점
여름은 역시 맥윙 👏🏻👏🏻👏🏻,여름 은 역시 맥윙,0,가수원DT점
맥도날드,맥도날드,1,가수원DT점
굿,굿,1,가수원DT점
좋아요,좋다,1,가수원DT점
"맛있고, 직원분들 친절해요",맛있다 직원 분들 친절하다,1,가수원DT점
DT점이라 너무 편하고 좋네요,점 이라 너무 편하다 좋다,1,가수원DT점
좋아요,좋다,1,가수원DT점
주차장 디티점 딱조아요 커피마시러 고고,주차장 디티점 딱좋다 커피 말다 고고,1,가수원DT점
굿,굿,1,가수원DT점
좋아용,좋다,1,가수원DT점
맥칠러굿,맥 치르다 굿,1,가수원DT점
ㅇ,,1,가수원DT점
굿,굿,1,가수원DT점
혼자 좋아요.,혼자 좋다,0,가수원DT점
슈슈 좋아용~~,슈슈 좋다,1,가수원DT점
굳,굳다,1,가수원DT점
아이스커피 맛도리,아이스커피 맛 도리,1,가수원DT점
ㆍ,,0,가수원DT점
주말에 아이들과 한끼 떼우기 좋아용~~~,주말 에 아이 들 과 한 끼 떼 우기 좋다,1,가수원DT점
굿,굿,1,가수원DT점
"아이가 좋아해요
",아이 가 좋아하다,1,가수원DT점
ㄱ,,1,가수원DT점
맛있어요,맛있다,1,가수원DT점
굿,굿,1,가수원DT점
굿~,굿,1,가수원DT점
맛있고 좋아요,맛있다 좋다,1,가수원DT점
항상 친절! 먹고가는 사람들한텐 테이블 서비스도 잘 해주네용,항상 친절 먹다 사람 들 한텐 테이블 서비스 도 자다 해주다,1,가수원DT점
굿,굿,1,가수원DT점
좋아여,좋다,1,가수원DT점
맛있어요 ㅎㅎㅎ,맛있다,1,가수원DT점
굿굿,굿굿,1,가수원DT점
굿,굿,1,가수원DT점
맥모닝을 아침에~,맥 모닝 을 아침 에,1,가수원DT점
"조아조아조아조아
",조아 조아 조아 조아,1,가수원DT점
자주 가는 맥,자주 가다 맥,1,가수원DT점
진짜 빨리 나와요 대박,진짜 빨리 나오다 대박,1,가수원DT점
좋아요,좋다,1,가수원DT점
맛있어요,맛있다,1,가수원DT점
조아여,좋다,1,가수원DT점
매장도 넓고 깨끗해요. 햄버거도 맛있어요,매장 도 넓다 깨끗하다 햄버거 도 맛있다,1,가수원DT점
자주갑니다. 버거맛있고 감튀 뜨겁게줘서좋아요!친절해요!!,자주 가다 버거 맛있다 감 튀다 뜨겁다 주다 좋다 친절하다,1,가수원DT점
맥커피는 천원으로 먹어야 제맛,맥 커피 는 천원 으로 먹다 제 맛,1,가수원DT점
맛있어요,맛있다,1,가수원DT점
굿,굿,1,가수원DT점
굿,굿,1,가수원DT점
맥날,맥날,1,가수원DT점
ㅎㅎ,,1,가수원DT점
굿,굿,1,가수원DT점
굿,굿,1,가수원DT점
뷰가 진짜 대박이예요 너무 좋아하는 곳이예요,뷰 가 진짜 대박 이 예요 너무 좋아하다 곳 이 예요,1,가수원DT점
햄버거 맛있어요,햄버거 맛있다,1,가수원DT점
맥도날드 아이스크림 진짜 맛있어요. 어릴때부터 먹던 맛인데 항상 맛있게 먹어요!,맥도날드 아이스크림 진짜 맛있다 어리다 때 부터 먹다 맛 인데 항상 맛있다 먹다,1,가수원DT점
맥모닁은 진리^^~~~,맥모닁 은 진리,1,가수원DT점
단짠단짠 제대로네요 ㅋㅋㅋㅋ,단 짜다 짜다 제대로 네 요,1,가수원DT점
친절하고 편리해요..,친절하다 편리하다,1,가수원DT점
굿입니다,굿 이다,1,가수원DT점
맛있어요,맛있다,1,가수원DT점
굿굿,굿굿,1,가수원DT점
매장도 넓고 청결하고 햄버거가 맛있어요,매장 도 넓다 청결하다 햄버거 가 맛있다,1,가수원DT점
아이스커피 냠,아이스커피 냠,1,가수원DT점
맥플러리 가격 인상은 아쉽지만 맥플러리만 한 게 없어요(⁠*⁠´⁠ω⁠｀⁠*⁠),맥플러리 가격 인상 은 아쉽다 맥플러리 만 하다 게 없다,1,가수원DT점
맥도날드,맥도날드,1,가수원DT점
굳,굳다,1,가수원DT점
맥날최고.. 크리스피 클래식 버거 번 최고..,맥날 최고 크리스 피 클래식 버거 번 최고,1,가수원DT점
좋아요,좋다,1,가수원DT점
햄벅...또먹고싶다,햄벅 또 먹다,1,가수원DT점
맥모닝 너무 좋아요,맥 모닝 너무 좋다,1,가수원DT점
아침은 맥모닝 입니다,아침 은 맥 모닝 이다,1,가수원DT점
