content,date,지점명,YearMonth
"신메뉴 창녕갈릭치킨버거를 안먹어볼수 없어서 주문해봤습니다🧄🍔🥤 갈릭이어서 마요 소스 와 갈릭의 조합일까 생각했는데 소량의
간장과 올리고당 마늘로 만든듯한 소스였어요 소스양도 엄청 많이 들어있고 소스가 묽지않고 마늘양이 꾸덕하게 꽤 들어있습니다 향
과 맛이 강하고 쎈만큼 첫맛이 가장 맛있는 맛이고 다음에 먹으면 제마음 베스트 메뉴 상하이버거 주문해 먹을걱 같아요",2023-09-01,유성DT점,2023-09
"dt점, 오랜만에 맥모닝 겟~!",2023-09-01,유성DT점,2023-09
생각보다 맛있고 사람도 많아요.,2023-09-01,유성DT점,2023-09
굳굳,2023-08-01,유성DT점,2023-08
종종 불친절 ㅎㅎ,2023-08-01,유성DT점,2023-08
굿,2023-08-01,유성DT점,2023-08
굳,2023-08-01,유성DT점,2023-08
굿,2023-08-01,유성DT점,2023-08
좋습니다. ,2023-08-01,유성DT점,2023-08
,2023-08-01,유성DT점,2023-08
맛있어요.,2023-08-01,유성DT점,2023-08
역시 감튀맛집,2023-08-01,유성DT점,2023-08
굿,2023-08-01,유성DT점,2023-08
굿,2023-08-01,유성DT점,2023-08
햄버거는 맥날 이죠!!!! 빅맥 아니면 쿼터파운드 ,2023-08-01,유성DT점,2023-08
맛있어요,2023-08-01,유성DT점,2023-08
맛 없어요,2023-08-01,유성DT점,2023-08
해장은 역시 맥날,2023-08-01,유성DT점,2023-08
맛있어요,2023-08-01,유성DT점,2023-08
친절하고 좋아요 ,2023-08-01,유성DT점,2023-08
가입하고 혜택받고~,2023-08-01,유성DT점,2023-08
빅맥이 진리죠.. 한라봉 칠러는 너무 맛있죠 ^^,2023-08-01,유성DT점,2023-08
"오랜만에 맥도날드 사먹음
가격이 계속 올라서 햄버거도 자주 못먹음",2023-08-01,유성DT점,2023-08
버거냠냠,2023-08-01,유성DT점,2023-08
굿,2023-08-01,유성DT점,2023-08
"창녕갈릭비프세트 먹었어요
마늘소스 맛있어요",2023-08-01,유성DT점,2023-08
맛있어요,2023-08-01,유성DT점,2023-08
"빠르고 깔끔해서 혼밥하기 좋은 맥날
드라이브스루라서 포장해 가기에도 좋음",2023-08-01,유성DT점,2023-08
친절해서 좋아요,2023-08-01,유성DT점,2023-08
맥모닝 먹으러 갔어요. 치킨치즈가 원픽인데 유성온천역 DT점은 소프트 번 교체 옵션이 없는 건 아쉽지만 그래도 신선하고 맛있어요. 그리고 8월 19일 아침 카운터랑 주방 오가시며 바쁘게 응대해 주시던 키큰 남자 직원분 정신 없으셨을텐데 매우매우 친절하셨습니다. 유성온천역 DT점은 항상 아침 주문이 몰려요. 인기 많은듯,2023-08-01,유성DT점,2023-08
가성비굿,2023-08-01,유성DT점,2023-08
친절하고 좋아요 ,2023-08-01,유성DT점,2023-08
오랫만에 먹었더니 짭쪼름~ 그치만 맛있어요😋💕,2023-08-01,유성DT점,2023-08
맛이ㅛ어요,2023-08-01,유성DT점,2023-08
굳,2023-08-01,유성DT점,2023-08
추천,2023-08-01,유성DT점,2023-08
"오전에 처음인데 한가하네요 . 간편식으로 좋아요!
디카페인아라",2023-08-01,유성DT점,2023-08
굿,2023-08-01,유성DT점,2023-08
야미,2023-08-01,유성DT점,2023-08
"포테이토가 너무 식어서 눅눅했지만,
버거는 맛있었어요!!",2023-08-01,유성DT점,2023-08
맛있어요,2023-08-01,유성DT점,2023-08
친절햐요,2023-08-01,유성DT점,2023-08
굿,2023-08-01,유성DT점,2023-08
좋아요,2023-08-01,유성DT점,2023-08
좋아요,2023-08-01,유성DT점,2023-08
신메뉴도있고 디티점이 좋아요,2023-08-01,유성DT점,2023-08
친절하고 좋아요 ,2023-08-01,유성DT점,2023-08
밥먹는데 쓱삭쓱삭 먼지 날리면서 청소하고 화장실이 진짜 대박이네요…ㅋㅋㅋ 파리도 날라다니고 맥도날드 맞나 싶어요 비추입니다,2023-08-01,유성DT점,2023-08
좋아요,2023-08-01,유성DT점,2023-08
굿,2023-08-01,유성DT점,2023-08
좋아용,2023-08-01,유성DT점,2023-08
맛있어요!,2023-08-01,유성DT점,2023-08
아이스크림~,2023-08-01,유성DT점,2023-08
맥모닝 맛있어요,2023-08-01,유성DT점,2023-08
친절하셔서 더 기분 좋게 먹었어요 ㅎㅎ ,2023-08-01,유성DT점,2023-08
맛있어요,2023-08-01,유성DT점,2023-08
굿굿굿,2023-08-01,유성DT점,2023-08
일주일에 한두번은 꼭 가요 전 갠적으로 1955버거가 맛나네요,2023-08-01,유성DT점,2023-08
긋,2023-08-01,유성DT점,2023-08
맥도날드 24시간이라 너무 좋아요. 주차도 편하고 햄버거도 맛있어요,2023-08-01,유성DT점,2023-08
24시간이라 좋아요!!!,2023-08-01,유성DT점,2023-08
맛있어요,2023-08-01,유성DT점,2023-08
앱쿠폰으로 무료 음료 ~^^,2023-08-01,유성DT점,2023-08
굿,2023-08-01,유성DT점,2023-08
굿,2023-08-01,유성DT점,2023-08
"d/t점 치고 주차 괜찮음...
프렌치 프라이  바삭바삭!!!",2023-08-01,유성DT점,2023-08
,2023-08-01,유성DT점,2023-08
,2023-08-01,유성DT점,2023-08
GOOD 👍 ,2023-08-01,유성DT점,2023-08
"신제품출시.창녕갈비 치킨버거.
맛이 좋아요.또 먹고싶어요",2023-08-01,유성DT점,2023-08
굿,2023-08-01,유성DT점,2023-08
좋아요,2023-08-01,유성DT점,2023-08
굳굳,2023-08-01,유성DT점,2023-08
친절하고 좋아요 ,2023-08-01,유성DT점,2023-08
좋아요,2023-08-01,유성DT점,2023-08
"성심성의껏
",2023-08-01,유성DT점,2023-08
굳,2023-08-01,유성DT점,2023-08
좋아요,2023-07-01,유성DT점,2023-07
좋아요,2023-07-01,유성DT점,2023-07
굿,2023-07-01,유성DT점,2023-07
허니버터 인절미 후라이 포테이토 신제품이라 먹어볼려구요,2023-07-01,유성DT점,2023-07
짱,2023-07-01,유성DT점,2023-07
손님이 많은 점포임에도 음식 제공 속도가 빠르고 직원들이 친절한 편입니다. 주차 공간이 작아 픽업해서 먹는 것을 추천합니다.,2023-07-01,유성DT점,2023-07
굿,2023-07-01,유성DT점,2023-07
좋아용,2023-07-01,유성DT점,2023-07
맛있어요,2023-07-01,유성DT점,2023-07
런치세트,2023-07-01,유성DT점,2023-07
마싯서어용,2023-07-01,유성DT점,2023-07
좋아요,2023-07-01,유성DT점,2023-07
굳굳,2023-07-01,유성DT점,2023-07
굿,2023-07-01,유성DT점,2023-07
조아요,2023-07-01,유성DT점,2023-07
친절하고 좋아요 ,2023-07-01,유성DT점,2023-07
굿,2023-07-01,유성DT점,2023-07
굿,2023-07-01,유성DT점,2023-07
"매장직원분은 친절했는데
버거맛이 예전같지 않은 거 같아요",2023-07-01,유성DT점,2023-07
굿,2023-07-01,유성DT점,2023-07
굿,2023-07-01,유성DT점,2023-07
맛있었습니다.,2023-07-01,유성DT점,2023-07
맥도날드♥.♥,2023-07-01,유성DT점,2023-07
맥도날드,2023-07-01,유성DT점,2023-07
👍🏻👍🏻,2023-07-01,유성DT점,2023-07
포장했는데 집에 와서 보니까 다른 버거가 들어있네요. 귀찮아서 그냥 먹었지만 주문 나가기 전에 확인 한 번 더 해주셨으면 좋겠네요,2023-07-01,유성DT점,2023-07
굿,2023-07-01,유성DT점,2023-07
친절하고 좋아요 ,2023-07-01,유성DT점,2023-07
굿,2023-07-01,유성DT점,2023-07
맛있게 잘 먹었습니다,2023-07-01,유성DT점,2023-07
굳굳👍🏻,2023-07-01,유성DT점,2023-07
친절하고 좋아요 ,2023-07-01,유성DT점,2023-07
굿,2023-07-01,유성DT점,2023-07
드라이브스루좋아요!,2023-07-01,유성DT점,2023-07
굿,2023-07-01,유성DT점,2023-07
굿,2023-07-01,유성DT점,2023-07
"신메뉴 진도대파크림크로켓 버거 도전했어요. 버거는  맛있었고, 준비도 금방해주셨어요. 다만,키오스크 1대가 고장나서 버거 받는 시간보다 주문시간이 더 길었어요. 키오스크 고장시에는 대면으로 주문 받아주셨음 좋겠습니다. 1대로는 버겁더라구요.",2023-07-01,유성DT점,2023-07
친절하고 좋아요 ,2023-07-01,유성DT점,2023-07
대파버거 먹으러 왔어요,2023-07-01,유성DT점,2023-07
굿,2023-07-01,유성DT점,2023-07
진도대파크림 크로켓 버거를 먹어보았습니다. 맛이 없지는 않는데 대파크림소스가 너무 달아서 좀 이질적인것 빼면 먹을만은 했던거 같아요. 특히 크로켓이 너무 맛있어서 크로켓만 따로 팔아도 잘 팔릴 것 같아요. ,2023-07-01,유성DT점,2023-07
친절하고 좋아요 ,2023-07-01,유성DT점,2023-07
"좋아요
",2023-07-01,유성DT점,2023-07
전체적으로 만족합니다,2023-07-01,유성DT점,2023-07
드라이브 스루 너무좋아,2023-07-01,유성DT점,2023-07
굿,2023-07-01,유성DT점,2023-07
굿,2023-07-01,유성DT점,2023-07
굿,2023-07-01,유성DT점,2023-07
친절하고 좋아요 ,2023-07-01,유성DT점,2023-07
친절하고 좋아요 ,2023-07-01,유성DT점,2023-07
스트레스받을땐 아이스크림,2023-07-01,유성DT점,2023-07
맛있어요,2023-07-01,유성DT점,2023-07
좋아요,2023-07-01,유성DT점,2023-07
맛있어요ㅎㅎ,2023-07-01,유성DT점,2023-07
친절하고 좋아요 ,2023-07-01,유성DT점,2023-07
또 먹고 싶다ㅜㅜ,2023-07-01,유성DT점,2023-07
"주차는 그냥 포기 운좋으면 하는거고 아니면 드라이브스루이용하면되고 이번에 신메뉴나와서 테이크아웃했는데 
드라이브스루 주문받는분 진짜 건성건성 주문도 제대로 안받으시고 계속 틀리고 좀 신경써주세요",2023-07-01,유성DT점,2023-07
메뉴 빨리 나오고 주차 괜찮아요,2023-07-01,유성DT점,2023-07
굿,2023-07-01,유성DT점,2023-07
,2023-07-01,유성DT점,2023-07
물 서비스 제도 시행해 쥬세요,2023-07-01,유성DT점,2023-07
진도대파버거 맛있어요,2023-07-01,유성DT점,2023-07
좋아요,2023-07-01,유성DT점,2023-07
빨리나와여,2023-07-01,유성DT점,2023-07
햄버거,2023-07-01,유성DT점,2023-07
유성온천역에서 거의 유일하게 아침에 식사가 가능한 곳^^,2023-07-01,유성DT점,2023-07
최고,2023-07-01,유성DT점,2023-07
짱,2023-07-01,유성DT점,2023-07
